Type;Node;Parameter;Value;Person;Image_Path;Image_Type
N/A;N/A;N/A;N/A;albert_einstein;C:\Users\tonir\TFG\config_optima\albert_einstein_retrato_00001_.png;generated
N/A;N/A;N/A;N/A;charles_dickens;C:\Users\tonir\TFG\config_optima\charles_dickens_retrato_00001_.png;generated
N/A;N/A;N/A;N/A;katherine_johnson;C:\Users\tonir\TFG\config_optima\katherine_johnson_retrato_00001_.png;generated
N/A;N/A;N/A;N/A;lebron_james;C:\Users\tonir\TFG\config_optima\lebron_james_retrato_00001_.png;generated
N/A;N/A;N/A;N/A;maria_montessori;C:\Users\tonir\TFG\config_optima\maria_montessori_retrato_00001_.png;generated
N/A;N/A;N/A;N/A;rafa_nadal;C:\Users\tonir\TFG\config_optima\rafa_nadal_retrato_00001_.png;generated
N/A;N/A;N/A;N/A;reina_elizabeth;C:\Users\tonir\TFG\config_optima\reina_elizabeth_retrato_00001_.png;generated
